Team,League,Country,Gender,Tier,Season,URL,Pld,Pts,Max_Pts,GD,xGD,PPG,Team+Nat,EffAge
Al-Taawoun,Saudi Professional League,KSA,M,1,2021,https://fbref.com//en/squads/776909d3/Al-Taawoun-Stats,13,11,39,-6,,0.8461538461538461,Al-Taawoun (KSA),28.78204024113364
Damac,Saudi Professional League,KSA,M,1,2021,https://fbref.com//en/squads/e570aeff/Damac-Stats,13,25,39,5,,1.9230769230769231,Damac (KSA),29.33378047818196
América,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/18d3c3a3/America-Stats,17,35,51,11,,2.0588235294117645,América (MEX),27.770015511275503
Atlas,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/7c76bc53/Atlas-Stats,17,29,51,11,,1.7058823529411764,Atlas (MEX),26.716817856290284
Atlético,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/5d274ee4/Atletico-Stats,17,20,51,-4,,1.1764705882352942,Atlético (MEX),26.123390557939913
Cruz Azul,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/632f1838/Cruz-Azul-Stats,17,23,51,4,,1.3529411764705883,Cruz Azul (MEX),28.704270653404013
FC Juárez,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/29bff345/FC-Juarez-Stats,17,16,51,-11,,0.9411764705882353,FC Juárez (MEX),28.141093684775477
Guadalajara,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/c02b0f7a/Guadalajara-Stats,17,22,51,0,,1.2941176470588236,Guadalajara (MEX),25.90934691431995
León,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/fd7dad55/Leon-Stats,17,29,51,6,,1.7058823529411764,León (MEX),28.676779741997134
Mazatlán,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/f0297c23/Mazatlan-Stats,17,20,51,-6,,1.1764705882352942,Mazatlán (MEX),27.519555741326805
Monterrey,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/dd5ca9bd/Monterrey-Stats,17,22,51,3,,1.2941176470588236,Monterrey (MEX),26.914688826448256
Necaxa,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/752db496/Necaxa-Stats,17,20,51,-6,,1.1764705882352942,Necaxa (MEX),26.168231518897077
Pachuca,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/1be8d2e3/Pachuca-Stats,17,18,51,-2,,1.0588235294117647,Pachuca (MEX),28.078383525770743
Puebla,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/73fd2313/Puebla-Stats,17,24,51,0,,1.411764705882353,Puebla (MEX),28.001033591731264
Querétaro,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/c3352ce7/Queretaro-Stats,17,15,51,-8,,0.8823529411764706,Querétaro (MEX),28.519750644368518
Santos,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/03b65ba9/Santos-Laguna-Stats,17,24,51,7,,1.411764705882353,Santos (MEX),26.748661829427856
Tijuana,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/a42ddf2f/Tijuana-Stats,17,15,51,-11,,0.8823529411764706,Tijuana (MEX),26.683333333333334
Toluca,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/44b88a4e/Toluca-Stats,17,24,51,0,,1.411764705882353,Toluca (MEX),27.883635927856673
UANL,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/d9e1bd51/UANL-Stats,17,28,51,12,,1.6470588235294117,UANL (MEX),29.949581839904422
UNAM,Liga MX,MEX,M,1,2021,https://fbref.com//en/squads/c9d59c6c/UNAM-Stats,17,21,51,-6,,1.2352941176470589,UNAM (MEX),27.06106961458022
AZ Alkmaar,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/3986b791/AZ-Alkmaar-Stats,16,26,48,8,,1.625,AZ Alkmaar (NED),24.39242750411549
Ajax,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/19c3f8c4/Ajax-Stats,16,36,48,45,,2.25,Ajax (NED),26.16205808080808
Cambuur,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/5c9e307a/Cambuur-Stats,16,27,48,-6,,1.6875,Cambuur (NED),26.088590010734357
Feyenoord,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/fb4ca611/Feyenoord-Stats,16,36,48,24,,2.25,Feyenoord (NED),24.844760101010102
Fortuna Sittard,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/bd08295c/Fortuna-Sittard-Stats,16,12,48,-22,,0.75,Fortuna Sittard (NED),25.435112572729572
Go Ahead Eag,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/e33d6108/Go-Ahead-Eagles-Stats,16,21,48,-6,,1.3125,Go Ahead Eag (NED),24.549851237576757
Groningen,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/bec05adb/Groningen-Stats,16,19,48,-4,,1.1875,Groningen (NED),24.247076023391813
Heerenveen,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/193ff7aa/Heerenveen-Stats,16,22,48,-3,,1.375,Heerenveen (NED),24.598827203773343
Heracles Almelo,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/c882b88e/Heracles-Almelo-Stats,16,14,48,-7,,0.875,Heracles Almelo (NED),23.789423685877136
NEC Nijmegen,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/fc629994/NEC-Nijmegen-Stats,16,19,48,-5,,1.1875,NEC Nijmegen (NED),24.724747474747474
PSV Eindhoven,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/e334d850/PSV-Eindhoven-Stats,16,37,48,17,,2.3125,PSV Eindhoven (NED),25.749242424242425
RKC Waalwijk,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/bb14adb3/RKC-Waalwijk-Stats,16,15,48,-8,,0.9375,RKC Waalwijk (NED),25.667382245232982
Sparta R'dam,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/146a68ce/Sparta-Rotterdam-Stats,16,11,48,-12,,0.6875,Sparta R'dam (NED),26.837268181530476
Twente,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/a1f721d3/Twente-Stats,16,28,48,4,,1.75,Twente (NED),24.75936032491433
Utrecht,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/2a428619/Utrecht-Stats,16,27,48,10,,1.6875,Utrecht (NED),25.719128787878788
Vitesse,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/209d7fa2/Vitesse-Stats,16,29,48,-1,,1.8125,Vitesse (NED),23.9994315310763
Willem II,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/f0479d7b/Willem-II-Stats,16,18,48,-14,,1.125,Willem II (NED),24.565269994905755
Zwolle,Dutch Eredivisie,NED,M,1,2021,https://fbref.com//en/squads/e3db180b/Zwolle-Stats,16,6,48,-20,,0.375,Zwolle (NED),24.518721980173012
ADO Den Haag,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/4e7459b7/ADO-Den-Haag-Stats,19,41,57,21,,2.1578947368421053,ADO Den Haag (NED),23.547527910685805
Almere City,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/2b41acb5/Almere-City-Stats,19,17,57,-9,,0.8947368421052632,Almere City (NED),25.25318215851963
De Graafschap,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/c6f58d53/De-Graafschap-Stats,19,33,57,8,,1.736842105263158,De Graafschap (NED),25.582238766285563
Den Bosch,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/ff280e9e/Den-Bosch-Stats,19,25,57,-12,,1.3157894736842106,Den Bosch (NED),23.795628291522736
Dordrecht,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/70766eab/Dordrecht-Stats,19,10,57,-26,,0.5263157894736842,Dordrecht (NED),23.24165248830285
Emmen,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/01888db1/Emmen-Stats,19,36,57,14,,1.894736842105263,Emmen (NED),24.975171460471053
Excelsior,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/740cb7d4/Excelsior-Stats,19,41,57,22,,2.1578947368421053,Excelsior (NED),22.784484137563318
FC Eindhoven,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/e78963ab/FC-Eindhoven-Stats,19,30,57,6,,1.5789473684210527,FC Eindhoven (NED),24.573807117399863
Helmond Sport,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/9eb5fbc7/Helmond-Sport-Stats,19,19,57,-12,,1.0,Helmond Sport (NED),22.740337072677974
Jong AZ,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/c2f85bbb/Jong-AZ-Stats,19,21,57,-6,,1.105263157894737,Jong AZ (NED),19.63663951445456
Jong Ajax,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/a26209d7/Jong-Ajax-Stats,19,36,57,13,,1.894736842105263,Jong Ajax (NED),18.94458920499867
Jong PSV,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/8e1ea572/Jong-PSV-Stats,19,22,57,-3,,1.1578947368421053,Jong PSV (NED),19.28456454535764
Jong Utrecht,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/69574c30/Jong-Utrecht-Stats,19,22,57,-7,,1.1578947368421053,Jong Utrecht (NED),20.06810569408262
MVV Maastricht,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/f3cd3a26/MVV-Maastricht-Stats,19,23,57,-17,,1.2105263157894737,MVV Maastricht (NED),22.61305274374001
NAC Breda,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/8ed04be8/NAC-Breda-Stats,19,27,57,8,,1.4210526315789473,NAC Breda (NED),24.9578101723771
Oss,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/c76c8c7d/Oss-Stats,19,15,57,-11,,0.7894736842105263,Oss (NED),25.561456671982988
Roda JC,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/45b403c3/Roda-JC-Kerkrade-Stats,19,30,57,10,,1.5789473684210527,Roda JC (NED),25.201169590643275
Telstar,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/9babc1f9/Telstar-Stats,19,19,57,-17,,1.0,Telstar (NED),24.310260499734184
VVV-Venlo,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/534ac6d0/VVV-Venlo-Stats,19,23,57,-4,,1.2105263157894737,VVV-Venlo (NED),23.370653907496013
Volendam,Dutch Eerste Divisie,NED,M,2,2021,https://fbref.com//en/squads/8783f4ee/Volendam-Stats,19,42,57,22,,2.210526315789474,Volendam (NED),23.641922807773053
Bodø/Glimt,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/d86248bd/BodoGlimt-Stats,30,63,90,34,,2.1,Bodø/Glimt (NOR),25.21060606060606
Brann,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/aeae4fe1/Brann-Stats,30,26,90,-17,,0.8666666666666667,Brann (NOR),24.900023571404517
Haugesund,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/f4bbcd04/Haugesund-Stats,30,35,90,1,,1.1666666666666667,Haugesund (NOR),23.353083841412065
Kristiansund,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/c2ccd8f5/Kristiansund-Stats,30,46,90,-5,,1.5333333333333334,Kristiansund (NOR),26.786060606060605
Lillestrøm,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/924759ab/Lillestrom-Stats,30,49,90,9,,1.6333333333333333,Lillestrøm (NOR),24.260614835516346
Mjøndalen,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/f0ae6677/Mjondalen-Stats,30,22,90,-19,,0.7333333333333333,Mjøndalen (NOR),26.84006166642765
Odd,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/b70ec3fa/Odd-Stats,30,33,90,-14,,1.1,Odd (NOR),24.25050505050505
Sandefjord,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/a5b8480c/Sandefjord-Stats,30,36,90,-14,,1.2,Sandefjord (NOR),25.504685814455232
Sarpsborg 08,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/47b3e736/Sarpsborg-08-Stats,30,39,90,-5,,1.3,Sarpsborg 08 (NOR),26.381633890086206
Stabæk,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/c2153ae4/Stabaek-Stats,30,25,90,-27,,0.8333333333333334,Stabæk (NOR),23.87099277856516
Strømsgodset,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/90eb0dcc/Stromsgodset-Stats,30,36,90,0,,1.2,Strømsgodset (NOR),24.249519959575544
Tromsø,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/a3ee587a/Tromso-Stats,30,35,90,-11,,1.1666666666666667,Tromsø (NOR),24.34107558826508
Viking,Eliteserien,NOR,M,1,2021,https://fbref.com//en/squads/0b26f976/Viking-Stats,30,57,90,13,,1.9,Viking (NOR),24.77123079520513
12 de Octubre,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/dc728978/12-de-Octubre-Stats,36,43,108,-9,,1.1944444444444444,12 de Octubre (PAR),29.986519711742265
Cerro Porteño,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/e4cd6f9a/Cerro-Porteno-Stats,36,66,108,21,,1.8333333333333333,Cerro Porteño (PAR),26.016559753581824
Guaireña FC,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/257cf097/Guairena-FC-Stats,36,44,108,-3,,1.2222222222222223,Guaireña FC (PAR),29.29361020568731
Guaraní,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/6c3c25bd/Guarani-Stats,36,61,108,17,,1.6944444444444444,Guaraní (PAR),25.009368210163945
Libertad,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/ae107695/Libertad-Stats,36,65,108,32,,1.8055555555555556,Libertad (PAR),27.655868966679776
Nacional,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/264fce29/Nacional-Asuncion-Stats,36,50,108,-1,,1.3888888888888888,Nacional (PAR),27.477423900789177
Olimpia,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/4d4fc0b8/Club-Olimpia-Stats,36,51,108,6,,1.4166666666666667,Olimpia (PAR),28.52451173523949
River Plate,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/979102f4/River-Plate-Asuncion-Stats,36,29,108,-32,,0.8055555555555556,River Plate (PAR),29.33962049767072
Sol de América,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/e58fd7d6/Club-Sol-de-America-Stats,36,42,108,-10,,1.1666666666666667,Sol de América (PAR),28.36593068832304
Sport Luqueño,Paraguayan Primera División,PAR,M,1,2021,https://fbref.com//en/squads/d7e6c419/Sportivo-Luqueno-Stats,36,39,108,-21,,1.0833333333333333,Sport Luqueño (PAR),28.68657264788175
Alianza Atlético,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/e71b53ba/Alianza-Atletico-Stats,26,25,78,-15,,0.9615384615384616,Alianza Atlético (PER),27.365119538976714
Alianza Lima,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/cdbccdc1/Alianza-Lima-Stats,26,56,78,22,,2.1538461538461537,Alianza Lima (PER),26.82142578582014
Alianza Univ,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/b9ca1839/Alianza-Universidad-Stats,26,24,78,-20,,0.9230769230769231,Alianza Univ (PER),28.265076700886063
Ayacucho,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/e6b8138d/Ayacucho-Stats,26,37,78,1,,1.4230769230769231,Ayacucho (PER),27.492215006650497
Binacional,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/e5c4db74/Binacional-Stats,26,25,78,-18,,0.9615384615384616,Binacional (PER),28.201933572431
Cantolao,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/6be8cbbb/Cantolao-Stats,26,27,78,-9,,1.0384615384615385,Cantolao (PER),24.971052012238175
Cienciano,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/adf57493/Cienciano-Stats,26,39,78,6,,1.5,Cienciano (PER),26.639409559512654
Cusco,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/d4f8af71/Cusco-Stats,26,26,78,-4,,1.0,Cusco (PER),28.80830247515104
Dep Municipal,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/646f985b/Deportivo-Municipal-Stats,26,31,78,-5,,1.1923076923076923,Dep Municipal (PER),25.897995007021375
Mannucci,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/0beae1a9/Carlos-A-Mannucci-Stats,26,36,78,0,,1.3846153846153846,Mannucci (PER),27.476199796445627
Melgar,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/87ffd947/Melgar-Stats,26,40,78,18,,1.5384615384615385,Melgar (PER),25.48221374639994
Sport Boys,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/0c2512a2/Sport-Boys-Stats,26,38,78,2,,1.4615384615384615,Sport Boys (PER),27.473673954557857
Sport Huancayo,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/d7ba2e36/Sport-Huancayo-Stats,26,30,78,-4,,1.1538461538461537,Sport Huancayo (PER),28.796110829663693
Sporting Cristal,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/8917b8a9/Sporting-Cristal-Stats,26,58,78,28,,2.230769230769231,Sporting Cristal (PER),25.271731503859048
U César Vallejo,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/d1f6a4fe/Universidad-Cesar-Vallejo-Stats,26,42,78,11,,1.6153846153846154,U César Vallejo (PER),28.57634979782764
USMP,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/6df8a6d5/Universidad-San-Martin-Stats,26,26,78,-21,,1.0,USMP (PER),24.776267335266002
UTC,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/afccbca8/Universidad-Tecnica-de-Cajamarca-Stats,26,33,78,-5,,1.2692307692307692,UTC (PER),26.61743890518084
Universitario,Liga 1 de Fútbol Profesional,PER,M,1,2021,https://fbref.com//en/squads/e4108102/Universitario-Stats,26,47,78,13,,1.8076923076923077,Universitario (PER),27.28477234598728
Bruk-Bet Termalica Nieciecza,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/179c2bdf/Bruk-Bet-Termalica-Nieciecza-Stats,17,12,51,-9,,0.7058823529411765,Bruk-Bet Termalica Nieciecza (POL),26.74699874574449
Cracovia,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/6e7c9b0b/Cracovia-Stats,18,23,54,-3,,1.2777777777777777,Cracovia (POL),26.07895622895623
Górnik Zabrze,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/d2f21b23/Gornik-Zabrze-Stats,17,25,51,1,,1.4705882352941178,Górnik Zabrze (POL),26.288770053475936
Górnik Łęczna,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/2d9ff02d/Gornik-Leczna-Stats,18,15,54,-18,,0.8333333333333334,Górnik Łęczna (POL),28.88863161461569
Jagiellonia,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/4f7b798d/Jagiellonia-Stats,18,24,54,-2,,1.3333333333333333,Jagiellonia (POL),28.167200404517107
Lech Poznań,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/fdba14df/Lech-Poznan-Stats,18,38,54,23,,2.111111111111111,Lech Poznań (POL),27.17354396222172
Lechia Gdańsk,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/5d36c8f0/Lechia-Gdansk-Stats,18,33,54,11,,1.8333333333333333,Lechia Gdańsk (POL),27.301274493290663
Legia Warsaw,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/a73408a7/Legia-Warsaw-Stats,16,12,48,-12,,0.75,Legia Warsaw (POL),26.098090058183658
Piast Gliwice,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/ad2649a5/Piast-Gliwice-Stats,17,21,51,0,,1.2352941176470589,Piast Gliwice (POL),26.482293523469995
Pogoń Szczecin,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/8a3f95b9/Pogon-Szczecin-Stats,18,36,54,19,,2.0,Pogoń Szczecin (POL),26.973230821033727
RKS Raków,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/e0b3aa47/RKS-Rakow-Stats,17,32,51,10,,1.8823529411764706,RKS Raków (POL),26.07550545714797
Radomiak Radom,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/3b58a049/Radomiak-Radom-Stats,17,31,51,9,,1.8235294117647058,Radomiak Radom (POL),27.720171469397474
Stal Mielec,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/7ed0e406/Stal-Mielec-Stats,18,27,54,0,,1.5,Stal Mielec (POL),26.958319251999548
Warta Poznań,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/eb547ac5/Warta-Poznan-Stats,17,12,51,-11,,0.7058823529411765,Warta Poznań (POL),26.909487133560212
Wisła Kraków,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/162ec40d/Wisla-Krakow-Stats,18,18,54,-12,,1.0,Wisła Kraków (POL),25.949912275737166
Wisła Płock,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/fe423bcc/Wisla-Plock-Stats,18,26,54,2,,1.4444444444444444,Wisła Płock (POL),27.2038109156315
Zagłębie Lubin,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/3458af25/Zaglebie-Lubin-Stats,17,20,51,-11,,1.1764705882352942,Zagłębie Lubin (POL),25.148972908603753
Śląsk Wrocław,Ekstraklasa,POL,M,1,2021,https://fbref.com//en/squads/c582b57f/Slask-Wroclaw-Stats,17,24,51,3,,1.411764705882353,Śląsk Wrocław (POL),27.231352189998805
Arouca,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/0d36ddd4/Arouca-Stats,13,13,39,-6,,1.0,Arouca (POR),26.76514321490061
Belenenses,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/19dc476f/Belenenses-Stats,13,8,39,-16,,0.6153846153846154,Belenenses (POR),24.328174352495264
Benfica,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/a77c513e/Benfica-Stats,14,34,42,28,,2.4285714285714284,Benfica (POR),27.214466546112117
Boavista,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/37b7e9e2/Boavista-Stats,14,12,42,-9,,0.8571428571428571,Boavista (POR),25.83382810802983
Braga,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/69d84c29/Braga-Stats,14,25,42,7,,1.7857142857142858,Braga (POR),25.671389330634668
Estoril,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/00c41b75/Estoril-Stats,14,24,42,6,,1.7142857142857142,Estoril (POR),24.901515151515152
FC Vizela,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/b9daacef/FC-Vizela-Stats,12,10,36,-10,,0.8333333333333334,FC Vizela (POR),26.439983164983165
Famalicão,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/2de656d5/Famalicao-Stats,14,10,42,-11,,0.7142857142857143,Famalicão (POR),23.51035577686368
Gil Vicente FC,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/6a329209/Gil-Vicente-FC-Stats,14,20,42,5,,1.4285714285714286,Gil Vicente FC (POR),25.821302117205
Marítimo,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/c1b0f61b/Maritimo-Stats,14,14,42,-2,,1.0,Marítimo (POR),26.689027034841693
Moreirense,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/e4502862/Moreirense-Stats,13,9,39,-9,,0.6923076923076923,Moreirense (POR),26.811060983198505
Paços,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/f6af6f6f/Pacos-de-Ferreira-Stats,14,11,42,-9,,0.7857142857142857,Paços (POR),26.972240389506577
Portimonense,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/a549d6c6/Portimonense-Stats,14,23,42,2,,1.6428571428571428,Portimonense (POR),25.203174603174602
Porto,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/5e876ee6/Porto-Stats,14,38,42,26,,2.7142857142857144,Porto (POR),26.20967159870083
Santa Clara,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/f5b64cb1/Santa-Clara-Stats,14,10,42,-18,,0.7142857142857143,Santa Clara (POR),26.79448075526507
Sporting CP,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/13dc44fd/Sporting-CP-Stats,14,38,42,19,,2.7142857142857144,Sporting CP (POR),26.593472452884686
Tondela,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/e442fa76/Tondela-Stats,13,12,39,-9,,0.9230769230769231,Tondela (POR),24.87093997025906
Vitória,Primeira Liga,POR,M,1,2021,https://fbref.com//en/squads/3f319bc9/Vitoria-Guimaraes-Stats,14,22,42,6,,1.5714285714285714,Vitória (POR),25.14984642387012
Argeș Pitești,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/abdef23c/Arges-Pitesti-Stats,19,27,57,2,,1.4210526315789473,Argeș Pitești (ROU),28.0688995215311
Botoșani,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/d921c99f/Botosani-Stats,19,30,57,1,,1.5789473684210527,Botoșani (ROU),26.740166293572113
CFR Cluj,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/ff04e205/CFR-Cluj-Stats,19,51,57,21,,2.6842105263157894,CFR Cluj (ROU),28.79360604287462
CS U Craiova,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/1eebf7c3/CS-Universitatea-Craiova-Stats,19,30,57,13,,1.5789473684210527,CS U Craiova (ROU),26.93428007047141
Chindia,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/deda22cf/Chindia-Targoviste-Stats,18,19,54,-1,,1.0555555555555556,Chindia (ROU),26.818723742477573
Clinceni,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/1e3f180f/Clinceni-Stats,19,10,57,-25,,0.5263157894736842,Clinceni (ROU),27.542955874534822
Dinamo,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/4472d406/Dinamo-Bucuresti-Stats,18,9,54,-26,,0.5,Dinamo (ROU),24.93799106890509
FC U Craiova,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/8e23de35/FC-U-Craiova-Stats,19,15,57,-9,,0.7894736842105263,FC U Craiova (ROU),25.955921543545465
FCSB,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/aed59852/FCSB-Stats,19,43,57,19,,2.263157894736842,FCSB (ROU),25.864656456073178
Farul Constanța,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/43886f90/Farul-Constanta-Stats,19,29,57,10,,1.5263157894736843,Farul Constanța (ROU),25.821331630209166
Gaz Metan,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/45f87065/Gaz-Metan-Medias-Stats,19,19,57,-7,,1.0,Gaz Metan (ROU),26.493234932349324
Mioveni,Liga I,ROU,M,1,2021,https://fbref.com//en/squads/965e2322/Mioveni-Stats,19,17,57,-15,,0.8947368421052632,Mioveni (ROU),28.211929001652365
